# Physiological Plant Ecology  I, Springer, DOI: 10.1007/978-3-642-68090-8
Wavelength	Chlorophyll a	Chlorophyll b
511.4	0.0177	0.0681
511.6	0.01783	0.06776
511.8	0.01799	0.06742
512	0.01818	0.06715
512.1	0.01839	0.06686
512.3	0.01862	0.06658
512.5	0.01885	0.06632
512.7	0.01909	0.06598
512.9	0.01935	0.06566
513.1	0.01961	0.06536
513.3	0.01987	0.06502
513.5	0.02013	0.06471
513.6	0.02036	0.06444
513.8	0.02057	0.06423
514	0.02076	0.06396
514.2	0.0209	0.0637
514.4	0.02099	0.06347
514.6	0.02114	0.06328
514.8	0.02126	0.06312
515	0.02136	0.06302
515.2	0.02132	0.06298
515.3	0.02133	0.06287
515.5	0.02135	0.06277
515.7	0.02137	0.06271
515.9	0.02139	0.06265
516.1	0.0215	0.06261
516.3	0.02163	0.06261
516.5	0.02178	0.06264
516.7	0.02194	0.0626
516.8	0.0221	0.06256
517	0.02226	0.06253
517.2	0.02241	0.0625
517.4	0.02259	0.06248
517.6	0.02277	0.06247
517.8	0.02294	0.06246
518	0.0231	0.06246
518.2	0.02325	0.06248
518.4	0.02339	0.0625
518.5	0.0235	0.0625
518.7	0.02358	0.0625
518.9	0.02364	0.0625
519.1	0.02366	0.0625
519.3	0.02358	0.0625
519.5	0.02348	0.0625
519.7	0.02338	0.0625
519.9	0.0234	0.0625
520	0.02344	0.0625
520.2	0.0235	0.0625
520.4	0.02359	0.0625
520.6	0.02368	0.06248
520.8	0.0238	0.06246
521	0.02392	0.06246
521.2	0.02405	0.06247
521.4	0.02418	0.06248
521.6	0.02432	0.0625
521.7	0.02445	0.06253
521.9	0.02458	0.06249
522.1	0.0247	0.06249
522.3	0.02482	0.06252
522.5	0.02499	0.06258
522.7	0.02511	0.06267
522.9	0.02519	0.06277
523.1	0.02521	0.0629
523.2	0.02519	0.06302
523.4	0.02511	0.06316
523.6	0.02499	0.06332
523.8	0.02482	0.06339
524	0.0247	0.06351
524.2	0.02458	0.06368
524.4	0.02445	0.06388
524.6	0.02432	0.0641
524.8	0.02418	0.06434
524.9	0.02405	0.06459
525.1	0.02392	0.06477
525.3	0.0238	0.06501
525.5	0.02368	0.06527
525.7	0.02359	0.06555
525.9	0.0235	0.06581
526.1	0.02344	0.06607
526.3	0.0234	0.06632
526.4	0.02347	0.06654
526.6	0.02354	0.06684
526.8	0.02359	0.06715
527	0.02364	0.06746
527.2	0.02361	0.06769
527.4	0.02354	0.06792
527.6	0.02343	0.06816
527.8	0.02329	0.06836
528	0.02313	0.06858
528.1	0.02294	0.06879
528.3	0.02274	0.06897
528.5	0.02253	0.06925
528.7	0.02231	0.06953
528.9	0.02209	0.06981
529.1	0.02188	0.06999
529.3	0.02177	0.07008
